onset_threshold,offset_threshold,min_sep,min_duration,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_F,COn_F,Split,Merged,Spurious
0.4,0.45,0.18,0.1,1959,2043,0.67498776309349,0.7039305768249107,0.6891554222888555,0.8310844577711145,0.8640679660169915,0.15569167942827974,0.1720265441551812,0.08116385911179173
0.4,0.45,0.18,0.08,1959,2072,0.6698841698841699,0.7085247575293517,0.6886628628131977,0.8270900520962541,0.8588439593153064,0.15211842776927004,0.16743236345074017,0.09443593670239918
0.4,0.5,0.18,0.1,1959,2043,0.6740088105726872,0.7029096477794793,0.6881559220389806,0.8310844577711145,0.8640679660169915,0.16488004083716182,0.17968351199591628,0.08065339458907606
0.45,0.45,0.18,0.1,1959,2003,0.6804792810783824,0.6957631444614599,0.6880363452801614,0.8278647147905098,0.8637051993942453,0.14599285349668198,0.1720265441551812,0.07656967840735068
0.45,0.45,0.18,0.08,1959,2032,0.6751968503937008,0.700357325165901,0.6875469807065899,0.8238536707592082,0.858431470809321,0.1419091373149566,0.16743236345074017,0.08984175599795814
0.45,0.5,0.18,0.1,1959,2003,0.6799800299550673,0.6952526799387443,0.6875315497223624,0.8278647147905098,0.8637051993942453,0.15518121490556405,0.17866258295048495,0.07605921388463502
0.4,0.5,0.18,0.08,1959,2072,0.6684362934362934,0.7069933639612047,0.6871743984123045,0.8270900520962541,0.8588439593153064,0.16232771822358347,0.17508933129147525,0.09392547217968351
0.4,0.4,0.18,0.1,1959,2043,0.6725403817914831,0.7013782542113323,0.6866566716641679,0.8280859570214893,0.8640679660169915,0.15211842776927004,0.1725370086778969,0.08116385911179173
0.45,0.5,0.18,0.08,1959,2032,0.6742125984251969,0.6993363961204696,0.6865447256326735,0.8238536707592082,0.858431470809321,0.15211842776927004,0.1740684022460439,0.08933129147524248
0.4,0.4,0.18,0.08,1959,2072,0.6674710424710425,0.7059724349157733,0.6861820888117092,0.8241131232944681,0.8588439593153064,0.14854517611026033,0.16794282797345583,0.09443593670239918
0.4,0.35,0.18,0.1,1959,2043,0.6700930004894763,0.698825931597754,0.6841579210394803,0.8265867066466767,0.8640679660169915,0.15160796324655437,0.17457886676875958,0.08116385911179173
0.4,0.45,0.18,0.12,1959,2026,0.6727541954590326,0.6957631444614599,0.6840652446675032,0.8296110414052699,0.8637390213299875,0.15722307299642674,0.17508933129147525,0.07708014293006636
0.45,0.4,0.18,0.1,1959,2003,0.6764852720918622,0.6916794282797346,0.6839979808177687,0.8248359414437152,0.8637051993942453,0.14344053088310363,0.17304747320061256,0.07656967840735068
0.4,0.35,0.18,0.08,1959,2072,0.665057915057915,0.703420112302195,0.6837013148102208,0.8226246588935748,0.8588439593153064,0.14803471158754467,0.16998468606431852,0.09443593670239918
0.4,0.5,0.18,0.12,1959,2026,0.6722606120434353,0.6952526799387443,0.6835633626097868,0.8301129234629863,0.8637390213299875,0.1669218989280245,0.183256763654926,0.07656967840735068
0.45,0.4,0.18,0.08,1959,2032,0.6712598425196851,0.6962736089841756,0.6835379604109246,0.8203457780005011,0.858431470809321,0.13935681470137826,0.16845329249617153,0.08984175599795814
0.4,0.55,0.18,0.1,1959,2043,0.6691140479686735,0.6978050025523226,0.6831584207896052,0.8310844577711145,0.8640679660169915,0.17457886676875958,0.1883614088820827,0.08065339458907606
0.45,0.55,0.18,0.1,1959,2003,0.6754867698452321,0.6906584992343032,0.6829883897021706,0.8278647147905098,0.8637051993942453,0.16436957631444615,0.18683001531393567,0.07605921388463502
0.45,0.5,0.18,0.12,1959,1986,0.6782477341389728,0.6875957120980092,0.6828897338403042,0.8268694550063371,0.8633713561470215,0.15671260847371107,0.18172537008677897,0.07197549770290965
0.45,0.45,0.18,0.12,1959,1986,0.6782477341389728,0.6875957120980092,0.6828897338403042,0.826362484157161,0.8633713561470215,0.14701378254211334,0.17457886676875958,0.07248596222562532
0.4,0.45,0.2,0.1,1959,2010,0.6736318407960199,0.6911689637570189,0.6822877299067776,0.8259007306626354,0.8591584782060973,0.14650331801939764,0.17662072485962227,0.08014293006636039
0.4,0.55,0.18,0.08,1959,2072,0.6636100386100386,0.701888718734048,0.6822128504093278,0.8270900520962541,0.8588439593153064,0.17304747320061256,0.18478815722307299,0.09392547217968351
0.4,0.4,0.18,0.12,1959,2026,0.6707798617966436,0.6937212863705973,0.6820577164366374,0.827603513174404,0.8637390213299875,0.15313935681470137,0.17508933129147525,0.07708014293006636
0.45,0.55,0.18,0.08,1959,2032,0.6697834645669292,0.6947422154160285,0.6820345778000502,0.8238536707592082,0.858431470809321,0.16232771822358347,0.183256763654926,0.08933129147524248
0.45,0.35,0.18,0.1,1959,2003,0.6739890164752871,0.6891271056661562,0.6814740030287734,0.823321554770318,0.8637051993942453,0.14293006636038796,0.17508933129147525,0.07656967840735068
0.4,0.45,0.18,0.06,1959,2113,0.6564126833885471,0.708014293006636,0.681237721021611,0.818762278978389,0.8506876227897839,0.15160796324655437,0.16743236345074017,0.1153649821337417
0.5,0.45,0.18,0.1,1959,1955,0.681841432225064,0.6804492087799898,0.6811446090955545,0.8206438426162493,0.8589678078691875,0.13425216947422156,0.1740684022460439,0.07197549770290965
0.45,0.35,0.18,0.08,1959,2032,0.6687992125984252,0.6937212863705973,0.6810323227261338,0.8188423953896267,0.858431470809321,0.1388463501786626,0.1704951505870342,0.08984175599795814
0.4,0.4,0.2,0.1,1959,2010,0.6721393034825871,0.6896375701888718,0.6807760141093474,0.8223733938019652,0.8591584782060973,0.1439509954058193,0.1776416539050536,0.08014293006636039
0.5,0.45,0.18,0.08,1959,1984,0.6759072580645161,0.6845329249617151,0.6801927466396146,0.8161298503677402,0.8536647222926705,0.13067891781521185,0.16998468606431852,0.0852475752935171
0.5,0.5,0.18,0.1,1959,1955,0.6808184143222507,0.6794282797345584,0.6801226366888095,0.8201328564128769,0.8589678078691875,0.14241960183767227,0.17968351199591628,0.07146503318019398
0.45,0.45,0.18,0.06,1959,2073,0.6613603473227206,0.6998468606431854,0.6800595238095237,0.8154761904761904,0.8501984126984127,0.14139867279224094,0.16743236345074017,0.11077080142930067
0.4,0.35,0.18,0.12,1959,2026,0.6688055281342546,0.6916794282797346,0.6800501882057716,0.826599749058971,0.8637390213299875,0.1526288922919857,0.17713118938233793,0.07708014293006636
0.4,0.45,0.2,0.08,1959,2038,0.6668302257114819,0.6937212863705973,0.6800100075056292,0.820615461596197,0.8536402301726294,0.1439509954058193,0.1740684022460439,0.09341500765696784
0.4,0.5,0.2,0.1,1959,2010,0.6711442786069651,0.6886166411434406,0.6797682035777274,0.8264046359284455,0.8591584782060973,0.1562021439509954,0.18478815722307299,0.07963246554364471
0.4,0.5,0.18,0.06,1959,2113,0.6549929010884997,0.7064828994384891,0.6797642436149313,0.8182711198428292,0.8506876227897839,0.16232771822358347,0.17508933129147525,0.11434405308831036
0.45,0.4,0.18,0.12,1959,1986,0.67472306143001,0.6840224604389995,0.679340937896071,0.82382762991128,0.8633713561470215,0.1439509954058193,0.17508933129147525,0.07248596222562532
0.45,0.5,0.18,0.06,1959,2073,0.6603955619874577,0.698825931597754,0.6790674603174603,0.8149801587301588,0.8501984126984127,0.15211842776927004,0.1740684022460439,0.10974987238386932
0.4,0.55,0.18,0.12,1959,2026,0.6678183613030603,0.6906584992343032,0.6790464240903388,0.8301129234629863,0.8637390213299875,0.17713118938233793,0.19244512506380806,0.07656967840735068
0.45,0.55,0.18,0.12,1959,1986,0.6742195367573011,0.6835119959162839,0.6788339670468948,0.8268694550063371,0.8633713561470215,0.16641143440530884,0.19040326697294538,0.07197549770290965
0.4,0.4,0.18,0.06,1959,2113,0.6540463795551349,0.7054619703930577,0.6787819253438114,0.8158153241650294,0.8506876227897839,0.14803471158754467,0.16794282797345583,0.1153649821337417
0.5,0.5,0.18,0.08,1959,1984,0.6743951612903226,0.6830015313935681,0.6786710626426579,0.8156226223687547,0.8536647222926705,0.13986727922409392,0.1755997958141909,0.08473711077080143
0.4,0.4,0.2,0.08,1959,2038,0.6653581943081452,0.6921898928024502,0.6785088816612459,0.8171128346259695,0.8536402301726294,0.14139867279224094,0.17508933129147525,0.09341500765696784
0.45,0.6,0.18,0.1,1959,2003,0.670993509735397,0.6860643185298622,0.6784452296819787,0.8288743059061081,0.8637051993942453,0.18683001531393567,0.2062276671771312,0.07605921388463502
0.4,0.35,0.2,0.1,1959,2010,0.6696517412935323,0.6870852475752935,0.6782564877802973,0.8208616780045352,0.8591584782060973,0.14446145992853496,0.18019397651863195,0.08014293006636039
0.4,0.45,0.2,0.12,1959,1993,0.672353236327145,0.6840224604389995,0.6781376518218623,0.8259109311740891,0.8588056680161943,0.14803471158754467,0.17917304747320062,0.07605921388463502
0.45,0.45,0.2,0.1,1959,1972,0.6754563894523327,0.6799387442572741,0.6776901551767999,0.8211650979394556,0.8572882218265073,0.13782542113323124,0.1776416539050536,0.07656967840735068
0.45,0.35,0.18,0.12,1959,1986,0.6727089627391742,0.6819806023481368,0.6773130544993662,0.8228136882129277,0.8633713561470215,0.14344053088310363,0.17713118938233793,0.07248596222562532
0.4,0.6,0.18,0.1,1959,2043,0.6632403328438571,0.6916794282797346,0.6771614192903549,0.8315842078960519,0.8640679660169915,0.19806023481368046,0.20877998979070955,0.08065339458907606
0.4,0.4,0.2,0.12,1959,1993,0.6713497240341194,0.6830015313935681,0.6771255060728745,0.8233805668016194,0.8588056680161943,0.14497192445125065,0.17968351199591628,0.07605921388463502
0.5,0.55,0.18,0.1,1959,1955,0.6777493606138107,0.6763654925982644,0.6770567194685743,0.8201328564128769,0.8589678078691875,0.15109749872383868,0.18734047983665136,0.07146503318019398
0.45,0.6,0.18,0.08,1959,2032,0.6648622047244095,0.6896375701888718,0.6770233024304686,0.8243547982961664,0.858431470809321,0.18529862174578868,0.20316488004083716,0.08933129147524248
0.4,0.5,0.2,0.08,1959,2038,0.6638861629048086,0.6906584992343032,0.6770077558168627,0.8211158368776582,0.8536402301726294,0.1546707503828484,0.18223583460949463,0.09290454313425217
0.5,0.45,0.18,0.12,1959,1939,0.6802475502836514,0.6733027054619704,0.676757311441765,0.8193945613134942,0.8589020010261672,0.13476263399693722,0.17611026033690658,0.06789178152118427
0.4,0.35,0.18,0.06,1959,2113,0.6516800757217227,0.7029096477794793,0.6763261296660118,0.8143418467583499,0.8506876227897839,0.147524247064829,0.16998468606431852,0.1153649821337417
0.5,0.5,0.18,0.12,1959,1939,0.6797318205260443,0.6727922409392547,0.676244227809133,0.8193945613134942,0.8589020010261672,0.14344053088310363,0.18223583460949463,0.06738131699846861
0.4,0.5,0.2,0.12,1959,1993,0.6703462117410939,0.6819806023481368,0.6761133603238866,0.826417004048583,0.8588056680161943,0.15773353751914243,0.18734047983665136,0.07554874936191934
0.45,0.4,0.18,0.06,1959,2073,0.6575012059816691,0.6957631444614599,0.6760912698412699,0.8120039682539683,0.8501984126984127,0.1388463501786626,0.16845329249617153,0.11077080142930067
0.4,0.35,0.2,0.08,1959,2038,0.6629048086359176,0.6896375701888718,0.6760070052539405,0.8156117087815862,0.8536402301726294,0.1419091373149566,0.1776416539050536,0.09341500765696784
0.4,0.6,0.18,0.08,1959,2072,0.6573359073359073,0.6952526799387443,0.6757628380054578,0.8270900520962541,0.8588439593153064,0.1970393057682491,0.2057172026544155,0.09392547217968351
0.45,0.5,0.2,0.1,1959,1972,0.6734279918864098,0.6778968861664114,0.6756550496056984,0.821673874332231,0.8572882218265073,0.147524247064829,0.18478815722307299,0.07605921388463502
0.5,0.55,0.18,0.08,1959,1984,0.6713709677419355,0.6799387442572741,0.6756276946487447,0.8156226223687547,0.8536647222926705,0.1495661051556917,0.18427769270035732,0.08473711077080143
0.4,0.45,0.22,0.1,1959,1984,0.6713709677419355,0.6799387442572741,0.6756276946487447,0.8206949023586102,0.8546791782906416,0.1383358856559469,0.17917304747320062,0.08014293006636039
0.4,0.35,0.2,0.12,1959,1993,0.6698444555945811,0.6814701378254211,0.6756072874493927,0.8223684210526316,0.8588056680161943,0.14497192445125065,0.18172537008677897,0.07605921388463502
0.5,0.4,0.18,0.1,1959,1955,0.6762148337595908,0.6748340990301174,0.6755237608584568,0.8170669391926418,0.8589678078691875,0.13272077590607453,0.17662072485962227,0.07197549770290965
0.45,0.45,0.2,0.08,1959,2000,0.6685,0.6824910668708525,0.6754230866380398,0.815862591563526,0.8517302349078049,0.13527309851965288,0.17508933129147525,0.08984175599795814
0.4,0.55,0.18,0.06,1959,2113,0.6507335541883578,0.701888718734048,0.675343811394892,0.818762278978389,0.8506876227897839,0.17304747320061256,0.18478815722307299,0.11434405308831036
0.45,0.4,0.2,0.1,1959,1972,0.672920892494929,0.6773864216436958,0.675146273212923,0.817603663190028,0.8572882218265073,0.13578356304236855,0.17917304747320062,0.07656967840735068
0.45,0.55,0.18,0.06,1959,2073,0.6565364206464062,0.6947422154160285,0.6750992063492064,0.8154761904761904,0.8501984126984127,0.16232771822358347,0.183256763654926,0.10974987238386932
0.4,0.55,0.2,0.1,1959,2010,0.6661691542288557,0.6835119959162839,0.6747291509196272,0.8264046359284455,0.8591584782060973,0.16590096988259315,0.19346605410923942,0.07963246554364471
0.5,0.4,0.18,0.08,1959,1984,0.6703629032258065,0.6789178152118428,0.6746132386507736,0.812072026375856,0.8536647222926705,0.12914752424706483,0.1725370086778969,0.0852475752935171
0.45,0.6,0.18,0.12,1959,1986,0.6696878147029205,0.6789178152118428,0.6742712294043093,0.8278833967046896,0.8633713561470215,0.1883614088820827,0.20929045431342522,0.07197549770290965
0.4,0.4,0.22,0.1,1959,1984,0.6698588709677419,0.678407350689127,0.6741060106517879,0.8176515343646968,0.8546791782906416,0.13578356304236855,0.18019397651863195,0.08014293006636039
0.45,0.45,0.2,0.12,1959,1955,0.6746803069053708,0.6733027054619704,0.6739908022483393,0.8211548288196218,0.8569238630556976,0.1388463501786626,0.17968351199591628,0.07248596222562532
0.5,0.55,0.18,0.12,1959,1939,0.6771531717380093,0.6702399183256764,0.6736788096459723,0.8193945613134942,0.8589020010261672,0.1526288922919857,0.19040326697294538,0.06738131699846861
0.45,0.35,0.18,0.06,1959,2073,0.6550892426435119,0.6932108218478815,0.6736111111111112,0.8105158730158729,0.8501984126984127,0.1383358856559469,0.1704951505870342,0.11077080142930067
0.5,0.35,0.18,0.1,1959,1955,0.6741687979539642,0.6727922409392547,0.6734798160449668,0.8155339805825242,0.8589678078691875,0.13221031138335887,0.17815211842776926,0.07197549770290965
0.5,0.6,0.18,0.1,1959,1955,0.6741687979539642,0.6727922409392547,0.6734798160449668,0.8216658150229943,0.8589678078691875,0.17304747320061256,0.2057172026544155,0.07146503318019398
0.4,0.35,0.22,0.1,1959,1984,0.6688508064516129,0.6773864216436958,0.6730915546538169,0.8161298503677402,0.8546791782906416,0.13527309851965288,0.1812149055640633,0.08014293006636039
0.4,0.6,0.18,0.12,1959,2026,0.6618953603158934,0.6845329249617151,0.6730238393977415,0.8306148055207027,0.8637390213299875,0.20010209290454314,0.21235324144971923,0.07656967840735068
0.45,0.4,0.2,0.08,1959,2000,0.666,0.6799387442572741,0.6728971962616823,0.8118211669613539,0.8517302349078049,0.1332312404287902,0.17662072485962227,0.08984175599795814
0.45,0.5,0.2,0.08,1959,2000,0.666,0.6799387442572741,0.6728971962616823,0.8163677696387976,0.8517302349078049,0.14599285349668198,0.18223583460949463,0.08933129147524248
0.4,0.45,0.22,0.08,1959,2012,0.6640159045725647,0.6819806023481368,0.672878368169227,0.8159153865525056,0.8491563837824225,0.1368044920877999,0.1776416539050536,0.09341500765696784
0.5,0.45,0.18,0.06,1959,2025,0.6617283950617284,0.6840224604389995,0.672690763052209,0.8077309236947792,0.8453815261044177,0.13016845329249618,0.16998468606431852,0.10617662072485962
0.4,0.45,0.2,0.06,1959,2079,0.6531986531986532,0.6932108218478815,0.6726102030708272,0.8122833085685983,0.8454680534918276,0.14344053088310363,0.1740684022460439,0.11434405308831036
0.45,0.35,0.2,0.1,1959,1972,0.6703853955375254,0.6748340990301174,0.6726023912490461,0.8160773340117017,0.8572882218265073,0.13578356304236855,0.1812149055640633,0.07656967840735068
0.5,0.35,0.18,0.08,1959,1984,0.6683467741935484,0.6768759571209801,0.6725843266548314,0.8105503423788992,0.8536647222926705,0.12863705972434916,0.1740684022460439,0.0852475752935171
0.45,0.5,0.2,0.12,1959,1955,0.6731457800511509,0.6717713118938233,0.6724578436382217,0.8216658150229943,0.8569238630556976,0.14854517611026033,0.18683001531393567,0.07197549770290965
0.5,0.6,0.18,0.08,1959,1984,0.6678427419354839,0.6763654925982644,0.6720770986558459,0.8171443063657114,0.8536647222926705,0.17151607963246554,0.2026544155181215,0.08473711077080143
0.4,0.55,0.2,0.08,1959,2038,0.6589793915603532,0.6855538540071465,0.6720040030022516,0.8211158368776582,0.8536402301726294,0.16539050535987748,0.1919346605410924,0.09290454313425217
0.45,0.4,0.2,0.12,1959,1955,0.6726342710997443,0.6712608473711077,0.6719468574348493,0.8180889115993868,0.8569238630556976,0.1362940275650842,0.1807044410413476,0.07248596222562532
0.45,0.45,0.22,0.1,1959,1947,0.6738572162300975,0.6697294538029607,0.6717869943676396,0.8161802355350742,0.8530465949820789,0.1296579887697805,0.18019397651863195,0.07656967840735068
0.5,0.5,0.18,0.06,1959,2025,0.6607407407407407,0.6830015313935681,0.6716867469879517,0.8072289156626506,0.8453815261044177,0.13986727922409392,0.1755997958141909,0.10515569167942827
0.5,0.4,0.18,0.12,1959,1939,0.6750902527075813,0.6681980602348137,0.6716264751154438,0.8163160595177015,0.8589020010261672,0.13272077590607453,0.17815211842776926,0.06789178152118427
0.4,0.55,0.2,0.12,1959,1993,0.6658304064224787,0.6773864216436958,0.6715587044534412,0.826417004048583,0.8588056680161943,0.16794282797345583,0.19652884124553344,0.07554874936191934
0.4,0.45,0.22,0.12,1959,1967,0.6700559227249618,0.6727922409392547,0.6714212939378503,0.8211920529801324,0.8543046357615893,0.13935681470137826,0.18172537008677897,0.07605921388463502
0.4,0.4,0.22,0.08,1959,2012,0.6625248508946322,0.6804492087799898,0.6713674137496852,0.8128934777134224,0.8491563837824225,0.13425216947422156,0.17866258295048495,0.09341500765696784
0.4,0.4,0.2,0.06,1959,2079,0.6517556517556518,0.6916794282797346,0.6711243189697871,0.8088162456661714,0.8454680534918276,0.14037774374680959,0.17457886676875958,0.11434405308831036
0.45,0.55,0.2,0.1,1959,1972,0.6688640973630832,0.6733027054619704,0.6710760620707199,0.821673874332231,0.8572882218265073,0.15671260847371107,0.19295558958652373,0.07605921388463502
0.4,0.5,0.22,0.1,1959,1984,0.6668346774193549,0.6753445635528331,0.6710626426578747,0.8206949023586102,0.8546791782906416,0.15058703420112302,0.1883614088820827,0.07963246554364471
0.45,0.35,0.2,0.08,1959,2000,0.6635,0.6773864216436958,0.6703713058853246,0.8103056327355393,0.8517302349078049,0.1332312404287902,0.17866258295048495,0.08984175599795814
0.4,0.35,0.22,0.08,1959,2012,0.661530815109344,0.6794282797345584,0.6703601108033241,0.8113825232938806,0.8491563837824225,0.13374170495150586,0.17968351199591628,0.09341500765696784
0.45,0.6,0.18,0.06,1959,2073,0.6517124939700917,0.6896375701888718,0.670138888888889,0.816468253968254,0.8501984126984127,0.18529862174578868,0.20316488004083716,0.10974987238386932
0.5,0.6,0.18,0.12,1959,1939,0.6735430634347602,0.6666666666666666,0.6700872242175475,0.8209338122113905,0.8589020010261672,0.1740684022460439,0.2082695252679939,0.06738131699846861
0.5,0.35,0.18,0.12,1959,1939,0.6735430634347602,0.6666666666666666,0.6700872242175475,0.8152898922524371,0.8589020010261672,0.13221031138335887,0.17968351199591628,0.06789178152118427
0.45,0.35,0.2,0.12,1959,1955,0.6705882352941176,0.669218989280245,0.6699029126213593,0.8170669391926418,0.8569238630556976,0.1362940275650842,0.1827462991322103,0.07248596222562532
0.4,0.35,0.22,0.12,1959,1967,0.668530757498729,0.6712608473711077,0.6698930208863983,0.8176260825267447,0.8543046357615893,0.13578356304236855,0.183256763654926,0.07605921388463502
0.4,0.4,0.22,0.12,1959,1967,0.668530757498729,0.6712608473711077,0.6698930208863983,0.8186449312277126,0.8543046357615893,0.1368044920877999,0.1827462991322103,0.07605921388463502
0.4,0.5,0.2,0.06,1959,2079,0.6503126503126503,0.6901480347115876,0.6696384348687469,0.8122833085685983,0.8454680534918276,0.1546707503828484,0.18223583460949463,0.11332312404287902
0.5,0.45,0.2,0.1,1959,1931,0.6742620403935785,0.664624808575804,0.6694087403598972,0.8123393316195373,0.8529562982005142,0.1296579887697805,0.1807044410413476,0.07197549770290965
0.45,0.4,0.22,0.1,1959,1947,0.6712891628145865,0.6671771311893824,0.6692268305171531,0.8131080389144906,0.8530465949820789,0.1276161306789178,0.18172537008677897,0.07656967840735068
0.4,0.6,0.2,0.1,1959,2010,0.6606965174129353,0.6778968861664114,0.6691861929957168,0.8274124464600655,0.8591584782060973,0.18989280245022971,0.21286370597243492,0.07963246554364471
0.4,0.6,0.18,0.06,1959,2113,0.644581164221486,0.6952526799387443,0.668958742632613,0.8192534381139489,0.8506876227897839,0.1970393057682491,0.2057172026544155,0.11434405308831036
0.45,0.35,0.22,0.1,1959,1947,0.6707755521314843,0.6666666666666666,0.6687147977470558,0.8115719406041988,0.8530465949820789,0.12659520163348648,0.18223583460949463,0.07656967840735068
0.5,0.55,0.18,0.06,1959,2025,0.6577777777777778,0.6799387442572741,0.6686746987951807,0.8072289156626506,0.8453815261044177,0.1495661051556917,0.18427769270035732,0.10515569167942827
0.4,0.35,0.2,0.06,1959,2079,0.6493506493506493,0.6891271056661562,0.6686478454680534,0.8073303615651313,0.8454680534918276,0.14088820826952528,0.17713118938233793,0.11434405308831036
0.45,0.45,0.22,0.08,1959,1975,0.6658227848101266,0.6712608473711077,0.668530757498729,0.8108795119471276,0.8474834773767158,0.12914752424706483,0.17917304747320062,0.08984175599795814
0.45,0.55,0.2,0.12,1959,1955,0.6690537084398976,0.667687595712098,0.6683699540112417,0.8216658150229943,0.8569238630556976,0.1582440020418581,0.19550791220010208,0.07197549770290965
0.45,0.55,0.2,0.08,1959,2000,0.6615,0.6753445635528331,0.6683505935842385,0.8163677696387976,0.8517302349078049,0.1562021439509954,0.19142419601837674,0.08933129147524248
